[ERROR]: 2025-07-04 00:32:16 - In Server: invalid connection
[INFO]: 2025-07-04 00:32:16 - Admin List User success
[INFO]: 2025-07-04 00:34:34 - Connected to database: capbridge
[INFO]: 2025-07-04 00:34:41 - Connected to database: capbridge
[INFO]: 2025-07-04 00:35:01 - Connected to database: capbridge
[INFO]: 2025-07-04 00:35:11 - Connected to database: capbridge
[INFO]: 2025-07-04 00:35:20 - Connected to database: capbridge
[INFO]: 2025-07-04 00:35:24 - Connected to database: capbridge
[INFO]: 2025-07-04 00:35:27 - Connected to database: capbridge
[INFO]: 2025-07-04 00:35:48 - Connected to database: capbridge
[INFO]: 2025-07-04 00:35:49 - Connected to database: capbridge
[INFO]: 2025-07-04 00:35:51 - Connected to database: capbridge
[INFO]: 2025-07-04 00:35:57 - Connected to database: capbridge
[INFO]: 2025-07-04 00:36:05 - Connected to database: capbridge
[INFO]: 2025-07-04 00:36:11 - Connected to database: capbridge
[INFO]: 2025-07-04 00:36:26 - Connected to database: capbridge
[INFO]: 2025-07-04 00:36:28 - Connected to database: capbridge
[INFO]: 2025-07-04 00:36:38 - Connected to database: capbridge
[INFO]: 2025-07-04 00:36:44 - Connected to database: capbridge
[INFO]: 2025-07-04 00:36:46 - Connected to database: capbridge
[INFO]: 2025-07-04 00:37:38 - Connected to database: capbridge
[INFO]: 2025-07-04 00:37:40 - Connected to database: capbridge
[INFO]: 2025-07-04 00:37:45 - Connected to database: capbridge
[INFO]: 2025-07-04 00:37:48 - Connected to database: capbridge
[INFO]: 2025-07-04 00:37:57 - Connected to database: capbridge
[INFO]: 2025-07-04 00:38:00 - Connected to database: capbridge
[INFO]: 2025-07-04 00:38:05 - Connected to database: capbridge
[INFO]: 2025-07-04 00:38:08 - Connected to database: capbridge
[INFO]: 2025-07-04 00:38:18 - Connected to database: capbridge
[INFO]: 2025-07-04 00:38:20 - Connected to database: capbridge
[INFO]: 2025-07-04 00:38:21 - Connected to database: capbridge
[INFO]: 2025-07-04 00:38:23 - Connected to database: capbridge
[INFO]: 2025-07-04 00:38:29 - Connected to database: capbridge
[INFO]: 2025-07-04 00:38:32 - Connected to database: capbridge
[INFO]: 2025-07-04 00:38:35 - Connected to database: capbridge
[INFO]: 2025-07-04 00:38:47 - Connected to database: capbridge
[INFO]: 2025-07-04 00:38:49 - Connected to database: capbridge
[INFO]: 2025-07-04 00:38:54 - Connected to database: capbridge
[INFO]: 2025-07-04 00:39:01 - Connected to database: capbridge
[INFO]: 2025-07-04 00:39:04 - Connected to database: capbridge
[INFO]: 2025-07-04 00:39:06 - Connected to database: capbridge
[INFO]: 2025-07-04 00:39:18 - Connected to database: capbridge
[INFO]: 2025-07-04 00:39:19 - Connected to database: capbridge
[INFO]: 2025-07-04 00:39:22 - Connected to database: capbridge
